,Study_number,Rs_annual,Study_midyear,geometry,color
4683,6216.0,1007.0,1054425600.0,POINT (-15.4 28.1),#49a500ff
4684,6216.0,350.0,1117584000.0,POINT (-15.4 28.1),#198d00ff
4681,6216.0,1051.0,1054425600.0,POINT (-15.4 28.1),#4ca600ff
4682,6216.0,788.0,1054425600.0,POINT (-15.4 28.1),#399d00ff
4694,6219.0,747.0,1180656000.0,POINT (140.56 40),#369b00ff
4696,6220.0,709.0,1149120000.0,POINT (-84.5 31.25),#339a00ff
4695,6220.0,635.0,1149120000.0,POINT (-84.5 31.25),#2e9700ff
4697,6226.0,1000.0,1212278400.0,POINT (-2.980722222 53.41252778),#49a400ff
4698,6226.0,2500.0,1212278400.0,POINT (-2.980722222 53.41252778),#b6db00ff
4705,6243.0,1741.0,1212278400.0,POINT (-52.333 -14.683),#7fbf00ff
4706,6243.0,1722.0,1212278400.0,POINT (-52.333 -14.683),#7dbf00ff
4740,6248.0,659.0,1149120000.0,POINT (11.96666667 55.88333333),#309800ff
4746,6248.0,335.0,1180656000.0,POINT (1.816666667 41.31666667),#188c00ff
4745,6248.0,298.0,1180656000.0,POINT (1.816666667 41.31666667),#158b00ff
4744,6248.0,390.0,1180656000.0,POINT (1.816666667 41.31666667),#1c8e00ff
4743,6248.0,330.0,928195200.0,POINT (5.9 52.4),#188c00ff
4742,6248.0,285.0,928195200.0,POINT (5.9 52.4),#148a00ff
4739,6248.0,600.0,1149120000.0,POINT (11.96666667 55.88333333),#2b9600ff
4741,6248.0,310.0,928195200.0,POINT (5.9 52.4),#168b00ff
4737,6248.0,730.0,1054425600.0,POINT (10.48333333 56.38333333),#359b00ff
4728,6248.0,585.0,1180656000.0,POINT (13.55 56.25),#2a9500ff
4727,6248.0,522.0,1180656000.0,POINT (13.55 56.25),#269300ff
4726,6248.0,265.0,1180656000.0,POINT (18.96666667 68.333),#138a00ff
4725,6248.0,231.0,1180656000.0,POINT (18.96666667 68.333),#108800ff
4724,6248.0,226.0,1212278400.0,POINT (26.23333333 58.86666667),#108800ff
4738,6248.0,651.0,1149120000.0,POINT (11.96666667 55.88333333),#2f9800ff
4729,6248.0,572.0,1149120000.0,POINT (-3.266666667 55.75),#299500ff
4730,6248.0,535.0,1149120000.0,POINT (-3.266666667 55.75),#279300ff
4731,6248.0,496.0,1149120000.0,POINT (-3.266666667 55.75),#249200ff
4732,6248.0,518.0,1149120000.0,POINT (-3.466666667 53.05),#259300ff
4733,6248.0,633.0,1149120000.0,POINT (-3.466666667 53.05),#2e9700ff
4734,6248.0,584.0,1149120000.0,POINT (-3.466666667 53.05),#2a9500ff
4735,6248.0,732.0,1054425600.0,POINT (10.48333333 56.38333333),#359b00ff
4723,6248.0,528.0,1212278400.0,POINT (26.23333333 58.86666667),#269300ff
4736,6248.0,513.0,1054425600.0,POINT (10.48333333 56.38333333),#259300ff
4748,6263.0,833.0,1086048000.0,POINT (-8.6 38.63333333),#3c9e00ff
4749,6263.0,1022.0,1212278400.0,POINT (-8.016666667000001 38.51666667),#4aa500ff
4755,6263.0,870.0,1086048000.0,POINT (-7.2 38.95),#3fa000ff
4753,6263.0,757.0,1149120000.0,POINT (-7.416666667 38.78333333),#379c00ff
